WKT,fid,Land,Typ,Bezeichnung,Leistung (MWp),Jahr der Inbetriebnahme,Breitengrad_HP,Längengrad_HP,PLZ
"POINT (8.591767486 53.7196715)",241.0,DE,PVA,Nordholz,982.0,2014.0,53.7196715,8.591767486,27639
"POINT (8.591767486 53.7196715)",241.0,DE,PVA,Nordholz,982.0,2014.0,53.7196715,8.591767486,27639
"POINT (8.591767486 53.7196715)",241.0,DE,PVA,Nordholz,982.0,2014.0,53.7196715,8.591767486,27639
"POINT (8.591767486 53.7196715)",241.0,DE,PVA,Nordholz,982.0,2014.0,53.7196715,8.591767486,27639
"POINT (11.27985624 51.506824)",242.0,DE,PVA,Oberröblingen,89.0,2016.0,51.506824,11.27985624,06526
"POINT (11.27985624 51.506824)",242.0,DE,PVA,Oberröblingen,89.0,2016.0,51.506824,11.27985624,06526
"POINT (13.1160556 50.99183764)",243.0,DE,PVA,Oberrossau,699.0,2013.0,50.99183764,13.1160556,09661
"POINT (14.79965287 50.8952659)",244.0,DE,PVA,Oberseifersdorf,1437.0,2013.0,50.8952659,14.79965287,02763
"POINT (14.80367951 50.89819437)",245.0,DE,PVA,Oberseifersdorf 3,2.0,2018.0,50.89819437,14.80367951,02763
"POINT (11.97268921 53.88720729)",246.0,DE,PVA,Oettelin,11.0,2022.0,53.88720729,11.97268921,18246
"POINT (11.97268921 53.88720729)",246.0,DE,PVA,Oettelin,11.0,2022.0,53.88720729,11.97268921,18246
"POINT (11.97268921 53.88720729)",246.0,DE,PVA,Oettelin,11.0,2022.0,53.88720729,11.97268921,18246
"POINT (12.11578906 51.52355852)",247.0,DE,PVA,Oppin,692.0,2012.0,51.52355852,12.11578906,06188
"POINT (13.29698102 52.77349627)",248.0,DE,PVA,Oranienburg,377.0,2012.0,52.77349627,13.29698102,16515
"POINT (13.1406866 51.34277142)",249.0,DE,PVA,Oschatz,381.0,2013.0,51.34277142,13.1406866,04758
"POINT (13.13238927 51.33740256)",250.0,DE,PVA,Oschatz 2,458.0,2018.0,51.33740256,13.13238927,04758
"POINT (13.13238927 51.33740256)",250.0,DE,PVA,Oschatz 2,458.0,2018.0,51.33740256,13.13238927,04758
"POINT (13.13238927 51.33740256)",250.0,DE,PVA,Oschatz 2,458.0,2018.0,51.33740256,13.13238927,04758
"POINT (13.13238927 51.33740256)",250.0,DE,PVA,Oschatz 2,458.0,2018.0,51.33740256,13.13238927,04758
"POINT (9.004123618 54.76013819)",251.0,DE,PVA,Oster-Schnatebüll,511.0,2025.0,54.76013819,9.004123618,25917
"POINT (9.59898121 52.05459787)",252.0,DE,PVA,Osterwald,34.0,2022.0,52.05459787,9.59898121,31020
"POINT (12.53601478 51.35006142)",253.0,DE,PVA,Panitzsch,746.0,2012.0,51.35006142,12.53601478,04451
"POINT (13.9853259 53.50161524)",254.0,DE,PVA,Pasewalk,487.0,2014.0,53.50161524,13.9853259,17309
"POINT (13.9853259 53.50161524)",254.0,DE,PVA,Pasewalk,487.0,2014.0,53.50161524,13.9853259,17309
"POINT (13.9853259 53.50161524)",254.0,DE,PVA,Pasewalk,487.0,2014.0,53.50161524,13.9853259,17309
"POINT (13.9853259 53.50161524)",254.0,DE,PVA,Pasewalk,487.0,2014.0,53.50161524,13.9853259,17309
"POINT (12.52655409 48.5203816)",255.0,DE,PVA,Pentling,315.0,2021.0,48.5203816,12.52655409,84160
"POINT (12.06761558 48.96226554)",256.0,DE,PVA,Pentling 2,317.0,2024.0,48.96226554,12.06761558,93080
"POINT (11.75176137 51.77323343)",257.0,DE,PVA,Poley,56.0,2019.0,51.77323343,11.75176137,06406
"POINT (12.14554201 50.89781963)",258.0,DE,PVA,Pölzig,625.0,2015.0,50.89781963,12.14554201,07554
"POINT (14.59025677 51.17428668)",259.0,DE,PVA,Pommritz,94.0,2022.0,51.17428668,14.59025677,02627
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (13.85586836 53.28378163)",260.0,DE,PVA,Prenzlau,10.0,2018.0,53.28378163,13.85586836,17291
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (12.28919946 54.17769687)",261.0,DE,PVA,Purkshof,999.0,2021.0,54.17769687,12.28919946,18182
"POINT (9.768118319 53.93249492)",262.0,DE,PVA,Quarnstedt,1323.0,2022.0,53.93249492,9.768118319,25563
"POINT (12.37040102 51.4534391)",263.0,DE,PVA,Rackwitz,421.0,2012.0,51.4534391,12.37040102,04519
"POINT (12.04928208 51.70283279)",264.0,DE,PVA,Radegast,94.0,2022.0,51.70283279,12.04928208,06369
"POINT (13.53422504 53.64537521)",265.0,DE,PVA,Ramelow,1175.0,2017.0,53.64537521,13.53422504,17098
"POINT (12.38869232 51.10131835)",266.0,DE,PVA,Regis-Breitingen,15.0,2017.0,51.10131835,12.38869232,04565
"POINT (12.34169766 50.62078685)",267.0,DE,PVA,Reichenbach,133.0,2015.0,50.62078685,12.34169766,08468
"POINT (7.288730842 50.04226545)",268.0,DE,PVA,Reidenhausen,1713.0,2024.0,50.04226545,7.288730842,56865
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.27455747 51.57970936)",269.0,DE,PVA,Roitzsch,978.0,2015.0,51.57970936,12.27455747,06809
"POINT (12.20412967 50.84466127)",270.0,DE,PVA,Ronneburg,1182.0,2013.0,50.84466127,12.20412967,07580
"POINT (13.19135411 51.07932544)",271.0,DE,PVA,Roßwein 1+2,531.0,2014.0,51.07932544,13.19135411,04741
"POINT (13.19135411 51.07932544)",271.0,DE,PVA,Roßwein 1+2,531.0,2014.0,51.07932544,13.19135411,04741
